Chủ đề,Bài viết,Tác giả,Chuyên mục,Số báo,Ngày xuất bản,Nội dung
Cách ăn ở,Cách ăn ở (Tiếp theo),Lê-ái-Kiều,Gia chánh,13,Ngày 3 tháng 5 năm 1918,"Sạch sẻ\nPhàm muốn cho quần áo sạch sẻ, thì từ cách phơi, cách giặc, tuy việc thường, nhưng cũng phải biết rỏ, nay xin kể lần cách ấy ra sau đây:\nPhơi nắng. - Hàng màu phải mơi trong mát, trừ ra có mền nệm, thì phơi trực-tiếp ngay ngoài nắng được, nhưng cũng phải lấy vải mỏng mà phủ lên trên, mới khỏi bay lợt màu sắc.\nGiặt. - Giặt là một việc cần nhứt trong cách sạch sẻ, hàng tơ lụa thì không nên đập và vặn quá, và hàng gai, nỉ cũng vậy. Hàng vải mà dơ, thì trước hết đem sát sà-bong, rồi cho trong nước Potasse mà nấu, sau sẻ lấy ra vò giặt cho kỷ, hoặc lấy bàn chải mà chà.\nCách nấu nước nóng, tuy là mau hết dơ thiệt, nhưng vải có màu, không nên theo như cách ấy, trừ chỉ có đồ trắng mà thôi. giặt rồi cũng phải đem xả mấy lần trước trong cho hết hơi sà-bong mới là sạch."
Phép nuôi con,Phép nuôi con (Tiếp theo),Lê-ái-Kiều,Gia chánh,13,Ngày 3 tháng 5 năm 1918,"Cách nghỉ, cách ăn của đờn-bà đẻ\nTrong khi đã nằm chổ, người sản-phụ phải nghĩ yên tịnh đừng cho có ai nói lớn tiếng, khi khát nước thì uống sữa, hoặc nước trà ấm ấm, hay là tròng đỏ trứng gà đánh với nước cháo loãng. Vì là người đờn bà khi đã sanh đẻ, đường tinh-thần mỏi mệt, nên phải ăn đồ bổ-dưởng và mau tiêu-hóa, chớ khá dùng món chi có tánh nhạt ngũ-tạng, như đồ chua, cay, chát, v.v.\nSạch sẻ và quần áo\nSự thân thể sạch sẻ thì không cứ lúc nào, cũng phải cần đến, thì chẳng nói chi, song khi nằm chổ rồi, chưa vận-động được, mà muốn sạch nữa, thì nấu nước nóng mà lau mình, lúc ấy là lúc dể bề cãm-mạo, thường phải mặc đồ vải bông, mà áo lót mình phải mỗi ngày mỗi thay, đặng cho khỏi nhiễm cái khí thấp."
Đối với người nhà,Đối với người nhà (Tiếp theo),Lê-ái-Kiều,Gia chánh ,13,Ngày 3 tháng 5 năm 1918,"Tôi tớ\nViệc vặt trong nhà, thế không nuôi đầy tớ, thì không ai thay đở việc mình. Bởi rứa cho nên tôi tớ, là nhà nào cũng cần phải có.\nPhàm người đã ở mướn cho ta, thì cũng là người nhà ta cả, lẻ ấy đã đành rồi, Nhưng tôi tớ thiệt là có một cái ảnh-hưởng lớn trong gia-đình; phàm mẹ chồng nàng dâu không ưa nha, chị em anh em hay rầy lộn, phần nhiều bởi cái lưỡi dài thọc mạch của đứa ở mà ra. Đến đổi cái ái-tình vợ chồng, thân mật là thế, mà bị đứa ác-nô nó làm lạt lẻo đi cũng có. Bởi vậy nhà không có một đứa tôi tớ cho trung thành, thì cái hạnh phước trong gia-đình, cũng khó bề mỹ-mãn. Không những vậy mà thôi, lại còn nó làm cho tàn cho hại nữa; đập bể chén bát, hao phí củi than, tiu người chủ-phụ tiếc từ hột cơm rơi, mà nó phí của trời, không mất tiền mua không xót. Việc giao tế trong khi ứng-đối, cũng vì nó mà chủ khách mích lòng nhau, dẩu người chủ-phụ tiếp khách hết lễ cách mấy, tuy khách miệng không nói ra mà trong lòng đã ngụ ý cười nhà ta ăn ở không có phép tắc. Còn đến di hại cho con cái trong nhà, cũng là lớn nữa, nên nuôi kẻ tôi tớ, nhứt phải lựa kỷ mới được."
Đối với người nhà,Đối với người nhà (Tiếp theo),Lê-ái-Kiều,Gia chánh,11,Ngày 19 tháng 4 năm 1918,"Ở với chồng. - Vợ chồng ở với nhau, trăm năm về lâu, không phải như phường trong dâu trên bộc, ăn sổi ở thì, dẩu chồng không được nhờ, mà chồng khờ cũng chịu, nên lấy cái ái-tình mà đối với nhau, đặng cho người chồng vui lòng lo lắng việc ngoài xã-hội, gái có công, chồng không phụ, lời Cổ-nhơn nói chẳng sai đâu.\nỞ với anh em chị em chồng. \nAnh em chị em nhà chồng tuy có kẻ lớn người nhỏ, nhưng cũng là ruột thịt, máu mủ với chồng ta, ta đã quí chồng ta, thì phải quí anh em chị em họ nhà chồng, có vui cùng vui, mà lo cùng lo, đừng như những kẻ lấy chồng chỉ biết một mình chồng, đông không có tây, mây không có sao, người ta cô thân, thì khó bề sanh tồn ở trong thời buổi cạnh-tranh nầy đặng."
Đối với người ngoài,Đối với người ngoài (Tiếp theo),Lê-ái-Kiều,Gia chánh,13,Ngày 3 tháng 5 năm 1918,"Cách giao-tế\nĐối với hạng người ngoài họ mình, như trên đã nói, phải nhứt là giữ điều tín nghĩa làm đâu, lấy can-cảm mà kết giao với thiên-hạ. Nói rỏ ra là có cái đức khiêm cung, lòng tự trọng, lượng khoan-hồng, chí nghĩa-hiệp, trách người một mà trách ta mười.\nPhàm người đủ mấy đức ấy, thì dẩu có oai nghiệm mà không hòa nhã, thì cũng không đủ làm cho người ta thương yêu. Cái lối giao-tế, nhứt sắc mặt phải vui vẻ, lời nói phải cẩn thận, khi ngồi khi đứng, lúc ra lúc vô, phải cho có lễ phép. Hoặc đến đâu phải chủ ý coi theo phong tục đấy. nên tục ngữ ta có câu rằng: «Nhập giang tùy khúc, nhập gia tùy tục» là thế.\nNgười ta thường nói: chơi với nhau chỉ có cái thiệt là hơn, tuy vậy vì sự thiệt mà sanh ra mích lòng nhau, đời thường thường thấy. Đờn-bà ta nhứt phải nên lấy cái đức khiêm-cung, cảm động người khác, nếu có ai không vừa lòng, thì ta hảy nên xét lỗi của ta trước."
Nữ-tữ giáo dục,Nữ-tữ giáo dục,Trần-thị-Đào,Gia chánh,13,Ngày 3 tháng 5 năm 1918,"Vẩn con trẻ ít biết mình chớ nên dạy gấp nó nói, là vì nếu ít biết thì nó lại hay hỏi mà biết. Cái tánh tọc-mạch ấy trẻ nào cũng có. Thế thì nên chìu theo cái tánh tự-nhiên đó mà sữa dạy lần lần thì là tốt hơn, ấy là những hồi dể cho ta chỉ dạy đó. Thí dụ như mình dắt trẻ dạo chợ chơi, nó thấy xe hơi lấy làm lạ, không biết con gì không tai không mắt mà chạy mau như thế, liền hỏi mình. Mình nên thừa diệp đấy mà cắt nghĩa cho nó biết cái đó là cái xe hơi, sao mà người ta kêu là cái xe hơi, xe hơi sao mà mắt hơn xe ngựa, xe hơi thế nào mà chạy mau, giàu nghèo ai mới sấm đặng v.v. Hay là mình giắt nó dạo ruộng, nó thấy người ta đang gặt lúa nó không biết liền hỏi, thì mình phải cắt nghĩa người gặt đó là ai, cây đó là lúa, rồi lúa người ta làm sao ra gạo, gạo làm sao thành ra cơm, nếu không cơm-gạo con người phải ra thể nào v.v.\nVả lúc đấy nó không biết, nó muốn hỏi mà biết, nên dễ cho ta chĩ dạy nó, còn nó thì lại mau hiễu và lại nhớ dai. Bất câu là trong việc gì, nếu mình chỉ dạy nó thì nên chĩ sao mà lợi, sao mà hại.\nTrong ốc trẻ khi đấy lại chưa in khắc đều gì nên nó chưa quen tánh chi cả, chỉ thấy việc gì ai làm thì hay bắt chước. Bởi vậy cho nên hể việc gì mình làm trước mắt nó, là làm gương cho nó đó, thế thì mình phải làm gương lành, chĩ gương tốt cho nó bắt chước. Nếu chĩ dạy nó, thì trước hết phải biết tánh con mình chớ nên làm cho nó sợ sệt mà chĩ dạy, là vì nhiều khi nó sợ mà phải ép mình mà làm, chừng vắn mặt mình nó quên, nên chẳng chi tốt bằng làm thế nào cho nó biết nghe lời, và rỏ lợi hại mà làm theo.\nVả lại phải làm cho nó biết sự thưởng phạt là đều cần nhứt, làm thế nào đặng thưởng, thế nào bị phạt, hoặc mướn món nó ham muốn lắm đó làm món thưởng phạt. Tĩ như nó thường ham chơi con bú-bế (poupée) lắm, vậy mổi khi nó chẳng nghe lời cùng làm sái, thì cất món chơi đó chẳng cho nó chơi ấy là phạt, còn nếu nó làm đều chi phải cùng là biết nghe lời thì mình lấy món ấy mà cho nó chơi. Ấy là cũng một cách dạy lần trẻ nhỏ biết đều thưởng phạt,"
Nữ-tữ giáo dục,Nữ-tữ giáo dục (Tiếp theo),Trần-thị-Đào,Gia chánh,11,Ngày 19 tháng 4 năm 1918,"Trong lúc trẻ còn thơ, mẹ cha nên giữ gìn món ăn giất ngũ cho trẻ, đừng bê-trể, việc vệ-sanh làm cho nó yếu sức đi, bởi thế thì nên cho nó dùng vật-thực thường, lựa món nào dể tiêu-hoá bổ-dưởng đặng thì tốt hơn là tập cho nó ăn quen đồ mĩ-vị cao-lương, chê đồ lê-quất, nhứt là cho trẻ ăn uống có độ lượng, có chừng đổi, đừng mới ăn đó trong giây lát thấy bánh-trái cùng là đồ ăn gì khác nó đòi ăn cũng cho ăn thì hại lắm, là vị đồ ăn kia chưa tiêu-hoá, chêm thêm đồ khác nữa làm cho tiêu-hoá phải chậm chạp, thế thì làm hại cho bao-tữ trẻ, và lần lần trẻ lại quen thói ăn uống không chừng, đụng đâu ăn đó.\nVà lại còn một đều cần nhứt nữa là phải để ngũ tạn cũa trẻ cho nhuần chớ nên ép gấp nó dầu việc học cũng vậy, phải làm thế nào đừng cho hay dục tốc, phải kềm chế cho thuần tánh nó thì sau nó mới dể dạy, hể dạy biểu đều gì nó hay nghe; hể gặp việc chi khó cứ bền lòng mà làm cho thành tựu không thổi chí; hể việc gay trở cùng là nguy hiểm cũng không hoản-hốt, chẩm rải nghĩ-suy rồi sẻ hay. Nếu buổi đầu không lo lắm mấy việc ấy, dầu khi trộng tuổi thì sở dục nó càng lừng-lẩy, không kềm chế đặng, thành tánh tự-nhiên, chừng ấy dể mà xiêu ngã bên đường quấy.\nĐến khi tuổi nó càng ngày càng trộng, vừa hết lẻ phải quấy thì mình phải cẩn-thận lời nói làm cho nó ưa sự thật-thà, ghét đều giã dối. Bởi vậy mình chớ nên gạt gẩm nó, tuy trong việc nhỏ-mọn thế nào cũng vậy, thí dụ như trẻ đang khóc đòi ăn món chi đó, mình cho cùng không cho thì cứ lấy lời phải mà nói cho nó nghe, chớ nên nói dối với nó: nín đi con, chập đây mẹ mua cho con, nói rồi bỏ qua, dẩu nó nính, không đòi nữa, mình làm vậy đó là mình dạy trẻ nói láo đó và lại đến sau mình nói nữa nó cũng không tin."
Nữ-tữ giáo dục,Nữ-tữ giáo dục (Tiếp theo),Trần-thị-Đào,Gia chánh,11,Ngày 19 tháng 4 năm 1918,"Phần làm mẹ cha phải chủ-ý mà coi cho biết tánh trẻ hay ham hố đều gì hơn, dầu trong việc nhỏ mọn hơn hết cũng vậy, hầu có ngăn ngừa trước những đều nó ham hố quấy, vẩn cái vóc nó trong lúc đáy, tôi đã nói trong bài nữ-tữ giáo dục tuần trước rồi, mềm như bánh sáp, hể nó đễ ghi vào đấy mấy đều ấy, lần lần óc nó cứng thì mấy đều cũng khắc cứng, đến sau khó mà sữa lại.\nVẩn con nít nhỏ chưa biết tư-tưởng gì và làm việc gì tự nơi nó mà ra, chỉ có châm chỉ việc mình làm mà bắt chước, ấy vậy việc mình làm, việc mình nói trước mặt trẻ thì phải dè dặt lắm lắm và lại mình đừng thấy trẻ làm việc chi kỳ-cục, hay là nói lạ lùng, mình lấy đó mà làm trò cười cùng là hay biểu làm đi làm lại cho kẻ khác chia vui với mình, làm cho trẻ thấy vậy tưởng là ngộ hay làm hoài, và đụng đâu nói đó, xuất kỳ bất-ý, thét thành ra một cái tánh xấu-xa vô cùng, và lại nó ngở là ai ai cũng đều châm-chỉ việc nó làm cã, có nhiều người lớn nói nhỏ với nhau cũng tưởng là nói nó."
Luân lý,Chị dạy em luân-lý,Nữ-sanh Thu-cúc,Gia chánh,5,Ngày 8 tháng 3 năm 1918,"Chị dạy em luân-lý\n(Morale)'\nChị. — Bớ em Năm !\nEm. — Dạ. \nChị. — Tết nhứt xong xả, em đã rữa ly rữa tách, sấp đặt vào tủ chưa ?\nEm. — Dạ cất đặt tữ tế cả rồi.\nChị — Em lại gần đây chị biễu.\nEm. —Dạ.\nChị. — Tuổi em năm nay nên bảy phải sữa soạn viết nghiên sách vở, đặng chị dạy em học vở lòng nghe!\nEm. — Em tưởng con gái học mà làm cái gì?\nChị. — Lúc trẻ thơ không học, thì lớn lên, làm mẹ người ta sao được?\nEm. — Con gái nước Nam mình,mấy ngàn năm nầy không học, đã sao ?\nChị. — Cũng ví mấy ngàn năm nầy không học, nên bây giờ mới đến đổi nghèo hèn như vậy.\nEm. — Vậy thì những nước giàu mạnh lập nhiều trường gái lắm sao?\nChị. — Các nước không kể, nước Pháp mình gần bảy ngàn trường.\nEm. — Nước mình đã có trường nào chưa?\nChị. — Saigon, Hanoi và Kinh-đô Huế, đã lập trường nữ học lâu rồi mà.\nEm. — Các tỉnh bạt đã lập trường chưa ?\nChị. — Đã, trường nữ Pháp-việc phái các bà giáo, cô giáo đi dạy rồi.\nEm. — Học thì học môn gì trước hết ?\nChị. — Phải học luân lý, mới biết lẹ ở đời.\nEm. — Biết đuợc những lẻ gì?\nChị. — Những lẻ mình đối với mình, và xã-hội mình, quốc-gia mình, và cỏi đời, và loài vật.\nEm. — Những đều gì là đối với mình mình ?\nChị, — Những nữ-hạnh, nữ-dung, nữ-ngôn, nữ-công.\nEm. — Nữ-hạnh ra thể nào?\nChị. — Nết na phải cho đoan-chánh, chớ có lả-lơi.\nEm. — Gái nước mình ,như bà nào là có nữ-hạnh ?\nChị. — Như bà Thể-Lan Họàng-hậu đời nhà Lý, vua Nhân-tôn ngự ra chùa phật, con gái theo coi biết mấy, mà bà ấy chỉ niềm hái dâu.\nEm. — Lả lơi thì có hại gì?"
Luân lý,Chị dạy em luân-lý,Nguyễn-thu-Cúc,Gia chánh,5,Ngày 8 tháng 3 năm 1918,"Chị. — Em không nghe bà Cù-hậu đời Triệu Ai-vương, vì dâm-hạnh mà nước mình phải mất đó sao?\nEm. — Nữ dung ra thế nào ?\nChị — Hình dung phải cho dịu-dàng, chớ có trau-chuốt.\nEm.— Gái nước mình như bà nào là có nữ-dung ?\nChị — Mỷ-hòa Công-chúa con gái vua Thánh-tô, (Minh-Mạng), mà cả đời có tô son điểm phấn bao giờ?\nEm — Trau chuốt thì có hại gì ?\nChị. — Em không nghe nàng Nguyễn-thị-Lồ, vợ quan tễ- tướng đời nhà Lê, cũng vì đả dung, mà phải tru di tam-tộc đó sao\nEm.— Nữ-ngôn ra thế nào?\nChị — Nói năng phải cho êm thắm, chớ có kiêu ngoa.\nEm. — Gái nước mình như bà nào là có nữ-ngôn ?\nChị. — Như bà Chiêu-nghi hoàng-hậu đời nhà Trần, cả đời nói chuyện không hề trông thấy chưn răng.\nEm. — Kiêu ngoa thì có hại gì ?\nChị. — Em không nghe bà Dương-thị-Bí là thái-phi đời nhà Lê, cũng vì kiêu ngoa, mà phải giáng xuống làm tài-nhân đó sao ?\nEm.— Nữ-công ra thế nào ?\nChị. — Công nghệ thì phải tập tành, chớ có biếng nhác.\nEm. — Gái nước mình như bà nào là có nữ-công?\nChị. — Như bà Thượng-dương Hoàng-hậu đời nhà Lý, ngày nào cũng dẫn các bà phi, bà tần, ra phương chức-cẩm, đặng học dệt gấm dệt sô.\nEm. — Biếng nhác thì có hại gì.\nChị. — Em không thấy cô Hoàng-thị-Nguyệt phủ Thừa-thiên, vẫn con nhà thế-phiệt, chĩ vì biếng nhác mà phải sa mình vào cỏi trăng hoa đó sao?\nEm.— Luân-lý thiệt có ích cho mình mình xin chị làm ơn dạy cho em ít chuyện nữa ;\nChị. — Thôi, chín giờ rưởi rồi em hảy ra sữa bàn sữa ghế, biểu đầy tớ dọn cơm đến hai giờ chiều chị sẻ dạy thêm cho ít chuyện."
